timestamp_jst,timeframe,symbol,broker,server_gmt_offset,close,ma20,ma50,ma200,rsi14,macd_main,macd_signal,atr14,volume,d_open,d_high,d_low,d_close,w_pp,w_r1,w_s1,w_r2,w_s2,notes
2025-11-08T07:00:00+09:00,H1,SILVER#,XMTrading,+3,48.38500,48.45850,48.31762,48.05669,50.21,0.01524,0.05816,0.29143,5338,47.99200,48.86400,47.89700,48.32100,47.85233,50.15967,46.35467,51.65733,44.04733,""
2025-11-08T08:00:00+09:00,H1,SILVER#,XMTrading,+3,48.32100,48.46860,48.32252,48.06437,47.78,0.00795,0.04388,0.28721,1269,48.32600,48.34800,48.25000,48.30700,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T10:00:00+09:00,H1,SILVER#,XMTrading,+3,48.58100,48.46550,48.32536,48.07273,56.90,0.02290,0.03334,0.29621,3294,48.32600,48.59300,48.25000,48.58100,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T11:00:00+09:00,H1,SILVER#,XMTrading,+3,48.52700,48.48045,48.33366,48.08238,54.76,0.03003,0.02651,0.29357,3670,48.32600,48.60700,48.25000,48.52300,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T12:00:00+09:00,H1,SILVER#,XMTrading,+3,48.95700,48.49320,48.33972,48.09194,65.79,0.06959,0.02759,0.33921,10475,48.32600,49.28300,48.25000,48.95900,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T13:00:00+09:00,H1,SILVER#,XMTrading,+3,49.01300,48.51815,48.35652,48.10461,66.92,0.10425,0.03444,0.33264,6917,48.32600,49.28300,48.25000,49.01100,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T14:00:00+09:00,H1,SILVER#,XMTrading,+3,49.09700,48.54750,48.37678,48.12136,68.60,0.13692,0.04681,0.31943,4411,48.32600,49.28300,48.25000,49.09800,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T15:00:00+09:00,H1,SILVER#,XMTrading,+3,49.21400,48.56840,48.39858,48.13700,70.82,0.17029,0.06388,0.30793,2870,48.32600,49.28300,48.25000,49.23300,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T16:00:00+09:00,H1,SILVER#,XMTrading,+3,49.46000,48.59525,48.42074,48.15189,74.84,0.21412,0.08570,0.29857,5505,48.32600,49.49600,48.25000,49.45900,48.09133,49.32267,47.08967,50.32433,45.85833,""
2025-11-10T17:00:00+09:00,H1,SILVER#,XMTrading,+3,49.53700,48.62860,48.45390,48.16697,75.96,0.25216,0.11202,0.29021,5821,48.32600,49.57000,48.25000,49.53200,48.09133,49.32267,47.08967,50.32433,45.85833,""
